"Date","Flow Rate","Quality code","Quality code description"
"2018-10-29 09:00","7178.794","3",""
"2018-10-30 09:00","8021.729","3",""
"2018-10-31 09:00","8033.599","3",""
"2018-11-01 09:00","6919.664","3",""
"2018-11-02 09:00","6764.983","3",""
"2018-11-03 09:00","6202.975","3",""
"2018-11-04 09:00","6153.774","3",""
"2018-11-05 09:00","6089.948","3",""
"2018-11-06 09:00","5667.794","3",""
"2018-11-07 09:00","5228.503","3",""
"2018-11-08 09:00","4331.894","5",""
"2018-11-09 09:00","3919.267","5",""
"2018-11-10 09:00","3059.903","5",""
"2018-11-11 09:00","2661.816","5",""
"2018-11-12 09:00","2674.856","5",""
"2018-11-13 09:00","3074.309","5",""
"2018-11-14 09:00","3519.954","5",""
"2018-11-15 09:00","3021.624","5",""
"2018-11-16 09:00","2727.297","5",""
"2018-11-17 09:00","2381.363","5",""
"2018-11-18 09:00","2127.651","5",""
"2018-11-19 09:00","1821.111","5",""
"2018-11-20 09:00","1650.408","5",""
"2018-11-21 09:00","1617.994","5",""
"2018-11-22 09:00","2978.803","5",""
"2018-11-23 09:00","4764.425","5",""
"2018-11-24 09:00","4714.52","5",""
"2018-11-25 09:00","4852.34","5",""
"2018-11-26 09:00","5116.675","5",""
"2018-11-27 09:00","5103.593","5",""
"2018-11-28 09:00","6430.454","5",""
"2018-11-29 09:00","5667.794","5",""
"2018-11-30 09:00","4603.116","5",""
"2018-12-01 09:00","3847.754","5",""
"2018-12-02 09:00","3572.811","5",""
"2018-12-03 09:00","4273.019","5",""
"2018-12-04 09:00","4302.411","5",""
"2018-12-05 09:00","5123.222","5",""
"2018-12-06 09:00","6560.098","5",""
"2018-12-07 09:00","8380.238","5",""
"2018-12-08 09:00","8694.926","5",""
"2018-12-09 09:00","8713.193","5",""
"2018-12-10 09:00","9078.91","5",""
"2018-12-11 09:00","9206.213","5",""
"2018-12-12 09:00","8464.601","5",""
"2018-12-13 09:00","6806.146","5",""
"2018-12-14 09:00","5648.043","5",""
"2018-12-15 09:00","4566.253","5",""
"2018-12-16 09:00","7206.567","5",""
"2018-12-17 09:00","5031.92","5",""
"2018-12-18 09:00","3303.71","5",""
"2018-12-19 09:00","2545.594","5",""
"2018-12-20 09:00","4462.7","5",""
"2018-12-21 09:00","7334.723","5",""
"2018-12-22 09:00","8434.441","5",""
"2018-12-23 09:00","8707.103","5",""
"2018-12-24 09:00","9617.557","5",""
"2018-12-25 09:00","8896.525","5",""
"2018-12-26 09:00","8921.06","5",""
"2018-12-27 09:00","9282.88","5",""
"2018-12-28 09:00","9366.176","5",""
"2018-12-29 09:00","9366.176","5",""
"2018-12-30 09:00","9366.176","5",""
"2018-12-31 09:00","9385.434","5",""
"2019-01-01 09:00","9786.38","5",""
"2019-01-02 09:00","9879.809","5",""
"2019-01-03 09:00","9812.995","5",""
"2019-01-04 09:00","9148.853","5",""
"2019-01-05 09:00","7882.398","5",""
"2019-01-06 09:00","7939.512","5",""
"2019-01-07 09:00","7825.406","5",""
"2019-01-08 09:00","9853.064","5",""
"2019-01-09 09:00","9708.339","5",""
"2019-01-10 09:00","9321.294","5",""
"2019-01-11 09:00","7672.132","5",""
"2019-01-12 09:00","7768.534","5",""
"2019-01-13 09:00","7267.776","5",""
"2019-01-14 09:00","8914.925","5",""
"2019-01-15 09:00","9475.478","5",""
"2019-01-16 09:00","9695.353","3",""
